Geographic Area,City,Median Income
AL,Abanda CDP,11207.0
AL,Abbeville city,25615.0
AL,Adamsville city,42575.0
AL,Addison town,37083.0
AL,Akron town,21667.0
AL,Alabaster city,71816.0
AL,Albertville city,32911.0
AL,Alexander City city,29874.0
AL,Alexandria CDP,56058.0
AL,Aliceville city,21131.0
AL,Allgood town,42009.0
AL,Altoona town,27566.0
AL,Andalusia city,31968.0
AL,Anderson town,34792.0
AL,Anniston city,29681.0
AL,Arab city,40292.0
AL,Ardmore town,35670.0
AL,Argo town,57212.0
AL,Ariton town,24286.0
AL,Arley town,28750.0
AL,Ashford town,42704.0
AL,Ashland town,31438.0
AL,Ashville city,40547.0
AL,Athens city,47542.0
AL,Atmore city,26775.0
AL,Attalla city,37191.0
AL,Auburn city,38342.0
AL,Autaugaville town,24833.0
AL,Avon town,40417.0
AL,Axis CDP,55750.0
AL,Babbie town,41912.0
AL,Baileyton town,31875.0
AL,Bakerhill town,31875.0
AL,Ballplay CDP,37778.0
AL,Banks town,28750.0
AL,Bay Minette city,31576.0
AL,Bayou La Batre city,34583.0
AL,Bear Creek town,35563.0
AL,Beatrice town,18417.0
AL,Beaverton town,31875.0
AL,Belgreen CDP,27750.0
AL,Belk town,28906.0
AL,Bellamy CDP,22132.0
AL,Belle Fontaine CDP,34615.0
AL,Berry town,25865.0
AL,Bessemer city,29615.0
AL,Billingsley town,41250.0
AL,Birmingham city,31061.0
AL,Black town,41071.0
AL,Blountsville town,30152.0
AL,Blue Ridge CDP,96333.0
AL,Blue Springs town,45313.0
AL,Boaz city,35974.0
AL,Boligee town,12173.0
AL,Bon Air town,23750.0
AL,Brantley town,27870.0
AL,Brantleyville CDP,40370.0
AL,Brent city,33924.0
AL,Brewton city,31033.0
AL,Bridgeport city,28571.0
AL,Brighton city,22146.0
AL,Brilliant town,25893.0
AL,Brook Highland CDP,60212.0
AL,Brookside town,34554.0
AL,Brookwood town,51515.0
AL,Broomtown CDP,28750.0
AL,Brundidge city,23819.0
AL,Butler town,28950.0
AL,Calera city,62893.0
AL,Camden city,28375.0
AL,Camp Hill town,25118.0
AL,Carbon Hill city,25990.0
AL,Carlisle-Rockledge CDP,35938.0
AL,Carolina town,50278.0
AL,Carrollton town,27857.0
AL,Castleberry town,20677.0
AL,Cedar Bluff town,36389.0
AL,Center Point city,39944.0
AL,Centre city,31268.0
AL,Centreville city,41103.0
AL,Chatom town,35365.0
AL,Chelsea city,85757.0
AL,Cherokee town,28359.0
AL,Chickasaw city,30973.0
AL,Childersburg city,25948.0
AL,Choccolocco CDP,54825.0
AL,Citronelle city,48125.0
AL,Clanton city,39823.0
AL,Clay city,68717.0
AL,Clayhatchee town,32656.0
AL,Clayton town,25203.0
AL,Cleveland town,40909.0
AL,Clio city,19539.0
AL,Coaling town,54167.0
AL,Coats Bend CDP,42821.0
AL,Coffee Springs town,33636.0
AL,Coffeeville town,19583.0
AL,Coker town,45795.0
AL,Collinsville town,25795.0
AL,Colony town,33063.0
AL,Columbia town,31806.0
AL,Columbiana city,32700.0
AL,Concord CDP,44620.0
AL,Coosada town,47406.0
AL,Cordova city,19139.0
AL,Cottondale CDP,43875.0
AL,Cottonwood town,25313.0
AL,County Line town,55313.0
AL,Courtland town,33125.0
AL,Cowarts town,43533.0
AL,Creola city,51705.0
AL,Crossville town,30833.0
AL,Cuba town,40673.0
AL,Cullman city,38746.0
AL,Cusseta town,52500.0
AL,Dadeville city,29368.0
AL,Daleville city,45651.0
AL,Daphne city,60737.0
AL,Dauphin Island town,63594.0
AL,Daviston town,47639.0
AL,Deatsville town,78125.0
AL,Decatur city,41496.0
AL,Demopolis city,27656.0
AL,Detroit town,24107.0
AL,Dodge City town,41346.0
AL,Dora city,40769.0
AL,Dothan city,42426.0
AL,Double Springs town,29063.0
AL,Douglas town,29318.0
AL,Dozier town,21765.0
AL,Dunnavant CDP,42857.0
AL,Dutton town,39688.0
AL,East Brewton city,26736.0
AL,East Point CDP,62059.0
AL,Eclectic town,41304.0
AL,Edgewater CDP,26818.0
AL,Edwardsville town,38438.0
AL,Egypt CDP,56693.0
AL,Elba city,26156.0
AL,Elberta town,31190.0
AL,Eldridge town,30000.0
AL,Elkmont town,39583.0
AL,Elmore town,40150.0
AL,Emelle town,36250.0
AL,Emerald Mountain CDP,91054.0
AL,Enterprise city,54450.0
AL,Epes town,25000.0
AL,Ethelsville town,40417.0
AL,Eufaula city,32845.0
AL,Eunola CDP,42023.0
AL,Eutaw town,22377.0
AL,Eva town,39868.0
AL,Evergreen city,18661.0
AL,Excel town,34375.0
AL,Fairfield city,34890.0
AL,Fairford CDP,32269.0
AL,Fairhope city,61489.0
AL,Fairview town,37750.0
AL,Falkville town,33846.0
AL,Faunsdale town,20625.0
AL,Fayette city,30646.0
AL,Fayetteville CDP,34632.0
AL,Five Points town,45000.0
AL,Flomaton town,24406.0
AL,Florala town,25673.0
AL,Florence city,35731.0
AL,Foley city,40938.0
AL,Forestdale CDP,48654.0
AL,Forkland town,19063.0
AL,Fort Deposit town,23963.0
AL,Fort Payne city,38833.0
AL,Fort Rucker CDP,59265.0
AL,Franklin town,60417.0
AL,Fredonia CDP,66591.0
AL,Frisco City town,17311.0
AL,Fruitdale CDP,63125.0
AL,Fruithurst town,35625.0
AL,Fulton town,32083.0
AL,Fultondale city,51587.0
AL,Fyffe town,42356.0
AL,Gadsden city,29136.0
AL,Gainesville town,14444.0
AL,Gallant CDP,45859.0
AL,Gantt town,47000.0
AL,Garden City town,31591.0
AL,Gardendale city,56132.0
AL,Gaylesville town,26818.0
AL,Geiger town,45125.0
AL,Geneva city,29912.0
AL,Georgiana town,19969.0
AL,Geraldine town,42292.0
AL,Gilbertown town,33750.0
AL,Glen Allen town,24531.0
AL,Glencoe city,46691.0
AL,Glenwood town,36000.0
AL,Goldville town,46250.0
AL,Good Hope town,47754.0
AL,Goodwater town,23809.0
AL,Gordo town,30781.0
AL,Gordon town,22250.0
AL,Gordonville town,18224.0
AL,Goshen town,40132.0
AL,Graham CDP,41914.0
AL,Grand Bay CDP,48767.0
AL,Grant town,55000.0
AL,Grayson Valley CDP,46250.0
AL,Graysville city,41282.0
AL,Greensboro city,21797.0
AL,Greenville city,29741.0
AL,Grimes town,31579.0
AL,Grove Hill town,31786.0
AL,Guin city,23000.0
AL,Gulfcrest CDP,68462.0
AL,Gulf Shores city,47662.0
AL,Guntersville city,39756.0
AL,Gurley town,32500.0
AL,Gu-Win town,39000.0
AL,Hackleburg town,28819.0
AL,Hackneyville CDP,60474.0
AL,Haleburg town,54167.0
AL,Haleyville city,24291.0
AL,Hamilton city,33053.0
AL,Hammondville town,43281.0
AL,Hanceville city,29231.0
AL,Harpersville town,35972.0
AL,Hartford city,22094.0
AL,Hartselle city,53878.0
AL,Harvest CDP,63708.0
AL,Hayden town,50795.0
AL,Hayneville town,18802.0
AL,Hazel Green CDP,41938.0
AL,Headland city,51822.0
AL,Heath town,38333.0
AL,Heflin city,25823.0
AL,Helena city,84615.0
AL,Henagar city,30757.0
AL,Highland Lake town,51250.0
AL,Highland Lakes CDP,124291.0
AL,Hillsboro town,34712.0
AL,Hissop CDP,25032.0
AL,Hobson City town,25563.0
AL,Hodges town,29583.0
AL,Hokes Bluff city,46042.0
AL,Hollis Crossroads CDP,34408.0
AL,Holly Pond town,44750.0
AL,Hollywood town,29306.0
AL,Holt CDP,30446.0
AL,Holtville CDP,52713.0
AL,Homewood city,61626.0
AL,Hoover city,77146.0
AL,Horn Hill town,34464.0
AL,Hueytown city,42172.0
AL,Huguley CDP,42063.0
AL,Huntsville city,48775.0
AL,Hurtsboro town,19732.0
AL,Hytop town,38542.0
AL,Ider town,32692.0
AL,Indian Springs Village city,96346.0
AL,Irondale city,47351.0
AL,Ivalee CDP,50737.0
AL,Jackson city,31232.0
AL,Jacksons' Gap town,36719.0
AL,Jacksonville city,38903.0
AL,Jasper city,39695.0
AL,Jemison city,38500.0
AL,Joppa CDP,23672.0
AL,Kansas town,38542.0
AL,Kellyton town,29688.0
AL,Kennedy town,35054.0
AL,Killen town,55313.0
AL,Kimberly city,76771.0
AL,Kinsey town,37109.0
AL,Kinston town,23571.0
AL,Ladonia CDP,32713.0
AL,La Fayette city,25666.0
AL,Lakeview town,46250.0
AL,Lake View town,88594.0
AL,Lanett city,25220.0
AL,Langston town,31875.0
AL,Leeds city,52689.0
AL,Leesburg town,41397.0
AL,Leighton town,22500.0
AL,Leroy CDP,47365.0
AL,Level Plains town,65769.0
AL,Lexington town,35521.0
AL,Libertyville town,44286.0
AL,Lillian CDP,51776.0
AL,Lincoln city,55605.0
AL,Linden city,29722.0
AL,Lineville city,31472.0
AL,Lipscomb city,26163.0
AL,Lisman town,28750.0
AL,Littleville town,49107.0
AL,Livingston city,14426.0
AL,Loachapoka town,34688.0
AL,Lockhart town,36250.0
AL,Locust Fork town,57143.0
AL,Lookout Mountain CDP,51058.0
AL,Louisville town,34286.0
AL,Lowndesboro town,39375.0
AL,Loxley town,48000.0
AL,Luverne city,29844.0
AL,Lynn town,33452.0
AL,McDonald Chapel CDP,15588.0
AL,McIntosh town,48625.0
AL,McKenzie town,31500.0
AL,Madison city,92960.0
AL,Madrid town,38750.0
AL,Magnolia Springs town,47614.0
AL,Malvern town,37000.0
AL,Maplesville town,32788.0
AL,Marbury CDP,37672.0
AL,Margaret town,64789.0
AL,Marion city,31029.0
AL,Maytown town,43750.0
AL,Meadowbrook CDP,92193.0
AL,Mentone town,38750.0
AL,Meridianville CDP,68368.0
AL,Midfield city,39678.0
AL,Midland City town,27163.0
AL,Midway town,24514.0
AL,Mignon CDP,32452.0
AL,Millbrook city,58330.0
AL,Millerville CDP,24861.0
AL,Millport town,32443.0
AL,Millry town,37813.0
AL,Minor CDP,45000.0
AL,Mobile city,38776.0
AL,Monroeville city,30678.0
AL,Montevallo city,34760.0
AL,Montgomery city,42927.0
AL,Moody city,61049.0
AL,Moores Mill CDP,63911.0
AL,Mooresville town,99375.0
AL,Morris town,70043.0
AL,Morrison Crossroads CDP,21169.0
AL,Mosses town,15240.0
AL,Moulton city,28843.0
AL,Moundville town,39719.0
AL,Mountain Brook city,126534.0
AL,Mount Olive CDP (Jefferson County),73345.0
AL,Mount Vernon town,40750.0
AL,Mulga town,34886.0
AL,Munford town,34034.0
AL,Muscle Shoals city,48896.0
AL,Myrtlewood town,35000.0
AL,Nances Creek CDP,51196.0
AL,Napier Field town,32000.0
AL,Nauvoo town,27000.0
AL,Nectar town,35313.0
AL,Needham town,56458.0
AL,Newbern town,18750.0
AL,New Brockton town,41066.0
AL,New Hope city,44224.0
AL,New Market CDP,59653.0
AL,New Site town,42143.0
AL,Newton town,41198.0
AL,New Union CDP,36429.0
AL,Newville town,31172.0
AL,North Courtland town,24097.0
AL,North Johns town,39750.0
AL,Northport city,53650.0
AL,Notasulga town,37273.0
AL,Oak Grove town,40972.0
AL,Oakman town,40469.0
AL,Odenville town,51518.0
AL,Ohatchee town,51688.0
AL,Oneonta city,36852.0
AL,Onycha town,22917.0
AL,Opelika city,40489.0
AL,Opp city,34695.0
AL,Orange Beach city,57535.0
AL,Orrville town,16250.0
AL,Our Town CDP,38125.0
AL,Owens Cross Roads town,51750.0
AL,Oxford city,51375.0
AL,Ozark city,37813.0
AL,Paint Rock town,23036.0
AL,Parrish town,29335.0
AL,Pelham city,67907.0
AL,Pell City city,41944.0
AL,Penton CDP,30417.0
AL,Perdido CDP,24286.0
AL,Perdido Beach town,47222.0
AL,Peterman CDP,28009.0
AL,Petrey town,38750.0
AL,Phenix City city,36698.0
AL,Phil Campbell town,25852.0
AL,Pickensville town,31607.0
AL,Piedmont city,28884.0
AL,Pike Road town,97500.0
AL,Pinckard town,31042.0
AL,Pine Apple town,46250.0
AL,Pine Hill town,30682.0
AL,Pine Level CDP,56125.0
AL,Pine Ridge town,24286.0
AL,Pinson city,59909.0
AL,Pisgah town,26635.0
AL,Pleasant Grove city,63302.0
AL,Pleasant Groves town,46875.0
AL,Point Clear CDP,47200.0
AL,Pollard town,31607.0
AL,Powell town,30903.0
AL,Prattville city,55297.0
AL,Priceville town,84375.0
AL,Prichard city,23785.0
AL,Providence town,40208.0
AL,Ragland town,38571.0
AL,Rainbow City city,49338.0
AL,Rainsville city,39691.0
AL,Ranburne town,50909.0
AL,Ray CDP,45909.0
AL,Red Bay city,29076.0
AL,Redland CDP,75139.0
AL,Red Level town,38571.0
AL,Redstone Arsenal CDP,60893.0
AL,Reece City town,43261.0
AL,Reeltown CDP,74688.0
AL,Reform town,20136.0
AL,Rehobeth town,47108.0
AL,Repton town,23125.0
AL,Ridgeville town,20625.0
AL,River Falls town,28977.0
AL,Riverside town,61417.0
AL,Riverview town,37222.0
AL,Roanoke city,34956.0
AL,Robertsdale city,47364.0
AL,Rock Creek CDP,52227.0
AL,Rockford town,22778.0
AL,Rogersville town,36346.0
AL,Rosa town,44808.0
AL,Russellville city,29859.0
AL,Rutledge town,39688.0
AL,St. Florian town,62500.0
AL,St. Stephens CDP,42500.0
AL,Saks CDP,42070.0
AL,Samson city,22556.0
AL,Sand Rock town,44375.0
AL,Sanford town,33333.0
AL,Saraland city,52621.0
AL,Sardis City town,51681.0
AL,Satsuma city,59311.0
AL,Scottsboro city,38007.0
AL,Section town,30278.0
AL,Selma city,22414.0
AL,Selmont-West Selmont CDP,23015.0
AL,Semmes city,46596.0
AL,Sheffield city,34205.0
AL,Shelby CDP,45139.0
AL,Shiloh town,36250.0
AL,Shoal Creek CDP,114018.0
AL,Shorter town,38409.0
AL,Silas town,27875.0
AL,Silverhill town,40921.0
AL,Sims Chapel CDP,86071.0
AL,Sipsey town,27393.0
AL,Skyline town,38810.0
AL,Slocomb city,35512.0
AL,Smiths Station city,46354.0
AL,Smoke Rise CDP,86310.0
AL,Snead town,35000.0
AL,Somerville town,40417.0
AL,Southside city,65946.0
AL,South Vinemont town,26141.0
AL,Spanish Fort city,72747.0
AL,Springville city,73906.0
AL,Standing Rock CDP,49583.0
AL,Stapleton CDP,53083.0
AL,Steele town,31063.0
AL,Sterrett CDP,31410.0
AL,Stevenson city,38053.0
AL,Stewartville CDP,43333.0
AL,Stockton CDP,65000.0
AL,Sulligent city,30050.0
AL,Sumiton city,42321.0
AL,Summerdale town,39803.0
AL,Susan Moore town,40417.0
AL,Sweet Water town,79375.0
AL,Sylacauga city,33407.0
AL,Sylvania town,46964.0
AL,Sylvan Springs town,56630.0
AL,Talladega city,29482.0
AL,Talladega Springs town,50833.0
AL,Tallassee city,38275.0
AL,Tarrant city,25653.0
AL,Taylor town,43116.0
AL,Theodore CDP,44284.0
AL,Thomaston town,48523.0
AL,Thomasville city,36146.0
AL,Thorsby town,45478.0
AL,Tidmore Bend CDP,48466.0
AL,Tillmans Corner CDP,48290.0
AL,Town Creek town,28382.0
AL,Toxey town,23542.0
AL,Trafford town,28889.0
AL,Triana town,41875.0
AL,Trinity town,73625.0
AL,Troy city,31707.0
AL,Trussville city,82108.0
AL,Tuscaloosa city,39351.0
AL,Tuscumbia city,41176.0
AL,Tuskegee city,26896.0
AL,Twin town,41705.0
AL,Underwood-Petersville CDP,39874.0
AL,Union town,26875.0
AL,Union Grove town,40313.0
AL,Union Springs city,30032.0
AL,Uniontown town,14967.0
AL,Uriah CDP,23421.0
AL,Valley city,39531.0
AL,Valley Grande city,55134.0
AL,Valley Head town,30391.0
AL,Vance town,64432.0
AL,Vandiver CDP,47171.0
AL,Vernon city,30292.0
AL,Vestavia Hills city,84854.0
AL,Vina town,22500.0
AL,Vincent town,42692.0
AL,Vinegar Bend CDP,77083.0
AL,Wadley town,25294.0
AL,Waldo town,32188.0
AL,Walnut Grove town,38846.0
AL,Warrior city,45396.0
AL,Waterloo town,39167.0
AL,Waverly town,55417.0
AL,Weaver city,44851.0
AL,Webb town,35375.0
AL,Wedowee town,26574.0
AL,Weogufka CDP,19792.0
AL,West Blocton town,36250.0
AL,West End-Cobb Town CDP,35233.0
AL,West Jefferson town,45938.0
AL,Westover town,58906.0
AL,West Point town,50329.0
AL,Wetumpka city,46190.0
AL,White Hall town,18462.0
AL,White Plains CDP,55781.0
AL,Whitesboro CDP,36736.0
AL,Wilsonville town,43456.0
AL,Wilton town,39750.0
AL,Winfield city,40654.0
AL,Woodland town,34205.0
AL,Woodstock town,54519.0
AL,Woodville town,34444.0
AL,Yellow Bluff town,16786.0
AL,York city,17399.0
AK,Adak city,78500.0
AK,Akhiok city,26250.0
AK,Akiachak CDP,38750.0
AK,Akiak city,42000.0
AK,Akutan city,24750.0
AK,Alakanuk city,32917.0
AK,Aleknagik city,41875.0
AK,Allakaket city,26500.0
AK,Ambler city,42344.0
AK,Anaktuvuk Pass city,66250.0
AK,Anchorage municipality,78326.0
AK,Anchor Point CDP,51591.0
AK,Anderson city,87708.0
AK,Angoon city,32750.0
AK,Aniak city,60500.0
AK,Anvik city,26563.0
AK,Arctic Village CDP,26250.0
AK,Atka city,50625.0
AK,Atmautluak CDP,50625.0
AK,Atqasuk city,52500.0
AK,Badger CDP,75917.0
AK,Barrow city,76902.0
AK,Bear Creek CDP,81458.0
AK,Beaver CDP,24000.0
AK,Bethel city,76135.0
AK,Bettles city,50000.0
AK,Big Delta CDP,65417.0
AK,Big Lake CDP,70988.0
AK,Brevig Mission city,32344.0
AK,Buckland city,60357.0
AK,Buffalo Soapstone CDP,68333.0
AK,Butte CDP,81875.0
AK,Cantwell CDP,56000.0
AK,Chalkyitsik CDP,29375.0
AK,Chefornak city,55625.0
AK,Chena Ridge CDP,93532.0
AK,Chevak city,41136.0
AK,Chickaloon CDP,40893.0
AK,Chignik city,96250.0
AK,Chignik Lagoon CDP,93438.0
AK,Chignik Lake CDP,45000.0
AK,Chuathbaluk city,43750.0
AK,Circle CDP,17125.0
AK,Clark's Point city,25833.0
AK,Coffman Cove city,41786.0
AK,Cohoe CDP,57228.0
AK,Cold Bay city,86250.0
AK,College CDP,73812.0
AK,Cooper Landing CDP,64301.0
AK,Copper Center CDP,39063.0
AK,Cordova city,85833.0
AK,Covenant Life CDP,31875.0
AK,Craig city,63229.0
AK,Crooked Creek CDP,31250.0
AK,Crown Point CDP,56688.0
AK,Deering city,50000.0
AK,Delta Junction city,72500.0
AK,Deltana CDP,74457.0
AK,Diamond Ridge CDP,69375.0
AK,Dillingham city,66875.0
AK,Diomede city,16250.0
AK,Dot Lake Village CDP,20625.0
AK,Eagle city,33125.0
AK,Eek city,39063.0
AK,Egegik city,38125.0
AK,Eielson AFB CDP,53388.0
AK,Ekwok city,31875.0
AK,Elfin Cove CDP,106667.0
AK,Elim city,37188.0
AK,Emmonak city,44773.0
AK,Ester CDP,68163.0
AK,Evansville CDP,23750.0
AK,Fairbanks city,55229.0
AK,False Pass city,55625.0
AK,Farmers Loop CDP,100703.0
AK,Farm Loop CDP,82250.0
AK,Fishhook CDP,86917.0
AK,Fort Yukon city,39583.0
AK,Fox CDP,76563.0
AK,Fox River CDP,57083.0
AK,Fritz Creek CDP,61875.0
AK,Funny River CDP,59314.0
AK,Gakona CDP,80625.0
AK,Galena city,63333.0
AK,Gambell city,29417.0
AK,Gateway CDP,92739.0
AK,Glacier View CDP,43000.0
AK,Goldstream CDP,88371.0
AK,Golovin city,40000.0
AK,Goodnews Bay city,30313.0
AK,Grayling city,20417.0
AK,Gustavus city,57639.0
AK,Haines CDP,69735.0
AK,Happy Valley CDP,41625.0
AK,Harding-Birch Lakes CDP,51042.0
AK,Healy CDP,88462.0
AK,Hollis CDP,103571.0
AK,Holy Cross city,36094.0
AK,Homer city,55849.0
AK,Hoonah city,57708.0
AK,Hooper Bay city,35938.0
AK,Houston city,50438.0
AK,Hughes city,32500.0
AK,Huslia city,42000.0
AK,Hydaburg city,31250.0
AK,Igiugig CDP,51250.0
AK,Iliamna CDP,68750.0
AK,Juneau city and borough,85746.0
AK,Kachemak city,70625.0
AK,Kake city,40417.0
AK,Kaktovik city,48125.0
AK,Kalifornsky CDP,72335.0
AK,Kaltag city,28750.0
AK,Karluk CDP,20938.0
AK,Kasaan city,49286.0
AK,Kasigluk CDP,43750.0
AK,Kasilof CDP,65893.0
AK,Kenai city,62236.0
AK,Ketchikan city,53111.0
AK,Kiana city,41250.0
AK,King Cove city,63667.0
AK,King Salmon CDP,81563.0
AK,Kipnuk CDP,34583.0
AK,Kivalina city,52917.0
AK,Klawock city,38125.0
AK,Klukwan CDP,50000.0
AK,Knik-Fairview CDP,82858.0
AK,Knik River CDP,68250.0
AK,Kobuk city,43333.0
AK,Kodiak city,62934.0
AK,Kodiak Station CDP,61923.0
AK,Kokhanok CDP,32083.0
AK,Koliganek CDP,40000.0
AK,Kongiganak CDP,37679.0
AK,Kotlik city,39583.0
AK,Kotzebue city,87708.0
AK,Koyuk city,33182.0
AK,Koyukuk city,17083.0
AK,Kupreanof city,52083.0
AK,Kwethluk city,44063.0
AK,Kwigillingok CDP,42188.0
AK,Lake Minchumina CDP,82813.0
AK,Lakes CDP,83574.0
AK,Larsen Bay city,47917.0
AK,Lazy Mountain CDP,82109.0
AK,Levelock CDP,37813.0
AK,Lower Kalskag city,30536.0
AK,McGrath city,64792.0
AK,McKinley Park CDP,78750.0
AK,Manley Hot Springs CDP,54375.0
AK,Manokotak city,36667.0
AK,Marshall city,36875.0
AK,Meadow Lakes CDP,65850.0
AK,Mekoryuk city,24750.0
AK,Mentasta Lake CDP,21250.0
AK,Metlakatla CDP,49924.0
AK,Minto CDP,32250.0
AK,Moose Creek CDP,51369.0
AK,Moose Pass CDP,102750.0
AK,Mosquito Lake CDP,31736.0
AK,Mountain Village city,39205.0
AK,Mud Bay CDP,119423.0
AK,Naknek CDP,79750.0
AK,Nanwalek CDP,33542.0
AK,Napakiak city,24167.0
AK,Napaskiak city,30625.0
AK,Nelchina CDP,41964.0
AK,Nelson Lagoon CDP,74375.0
AK,Nenana city,43250.0
AK,New Allakaket CDP,26250.0
AK,Newhalen city,56250.0
AK,New Stuyahok city,42813.0
AK,Newtok CDP,38125.0
AK,Nightmute city,39375.0
AK,Nikiski CDP,70909.0
AK,Nikolaevsk CDP,23125.0
AK,Nikolai city,36875.0
AK,Nikolski CDP,35000.0
AK,Ninilchik CDP,49659.0
AK,Noatak CDP,51250.0
AK,Nome city,76389.0
AK,Nondalton city,30833.0
AK,Noorvik city,40833.0
AK,North Pole city,70536.0
AK,Northway CDP,51250.0
AK,Northway Junction CDP,57500.0
AK,Northway Village CDP,20000.0
AK,Nuiqsut city,80938.0
AK,Nulato city,38281.0
AK,Nunam Iqua city,41250.0
AK,Nunapitchuk city,35833.0
AK,Old Harbor city,33750.0
AK,Ouzinkie city,34464.0
AK,Palmer city,61797.0
AK,Pedro Bay CDP,56667.0
AK,Pelican city,66667.0
AK,Perryville CDP,38125.0
AK,Petersburg CDP,68641.0
AK,Pilot Point city,28750.0
AK,Pilot Station city,33125.0
AK,Pitkas Point CDP,47500.0
AK,Platinum city,44063.0
AK,Pleasant Valley CDP,68929.0
AK,Point Hope city,57292.0
AK,Point Lay CDP,61563.0
AK,Point MacKenzie CDP,78500.0
AK,Port Alexander city,82813.0
AK,Port Alsworth CDP,63750.0
AK,Port Graham CDP,30000.0
AK,Port Heiden city,59375.0
AK,Port Lions city,41042.0
AK,Primrose CDP,81458.0
AK,Quinhagak city,31719.0
AK,Red Devil CDP,51875.0
AK,Ridgeway CDP,103203.0
AK,Ruby city,24688.0
AK,Russian Mission city,36563.0
AK,St. George city,53750.0
AK,St. Mary's city,42500.0
AK,St. Michael city,33125.0
AK,St. Paul city,57708.0
AK,Salamatof CDP,61458.0
AK,Salcha CDP,79167.0
AK,Sand Point city,56875.0
AK,Savoonga city,33661.0
AK,Saxman city,46250.0
AK,Scammon Bay city,27917.0
AK,Selawik city,41827.0
AK,Seldovia city,46875.0
AK,Seldovia Village CDP,59250.0
AK,Seward city,53750.0
AK,Shaktoolik city,38750.0
AK,Shishmaref city,29375.0
AK,Shungnak city,43125.0
AK,Silver Springs CDP,85341.0
AK,Sitka city and borough,70376.0
AK,Skagway CDP,69643.0
AK,Skwentna CDP,31667.0
AK,Slana CDP,18063.0
AK,Sleetmute CDP,30313.0
AK,Soldotna city,65048.0
AK,South Naknek CDP,58750.0
AK,South Van Horn CDP,65750.0
AK,Stebbins city,39271.0
AK,Steele Creek CDP,82049.0
AK,Sterling CDP,71597.0
AK,Stevens Village CDP,15938.0
AK,Stony River CDP,22500.0
AK,Susitna North CDP,50536.0
AK,Sutton-Alpine CDP,35500.0
AK,Takotna CDP,23750.0
AK,Talkeetna CDP,49861.0
AK,Tanacross CDP,18194.0
AK,Tanaina CDP,78263.0
AK,Tanana city,45625.0
AK,Tatitlek CDP,40000.0
AK,Tazlina CDP,64688.0
AK,Teller city,24792.0
AK,Tenakee Springs city,54375.0
AK,Tetlin CDP,21563.0
AK,Thorne Bay city,53393.0
AK,Togiak city,46250.0
AK,Tok CDP,56818.0
AK,Toksook Bay city,64000.0
AK,Trapper Creek CDP,23125.0
AK,Tuluksak CDP,23214.0
AK,Tuntutuliak CDP,36750.0
AK,Tununak CDP,32500.0
AK,Twin Hills CDP,38125.0
AK,Two Rivers CDP,66466.0
AK,Tyonek CDP,33750.0
AK,Ugashik CDP,53958.0
AK,Unalakleet city,68015.0
AK,Unalaska city,90500.0
AK,Upper Kalskag city,36806.0
AK,Valdez city,98204.0
AK,Venetie CDP,27500.0
AK,Wainwright city,64583.0
AK,Wales city,29063.0
AK,Wasilla city,61541.0
AK,White Mountain city,27083.0
AK,Whittier city,55893.0
AK,Willow CDP,61970.0
AK,Womens Bay CDP,86818.0
AK,Wrangell city and borough,48603.0
AK,Yakutat CDP,72500.0
AZ,Aguila CDP,26842.0
AZ,Ajo CDP,32964.0
AZ,Ak-Chin Village CDP,25197.0
AZ,Ali Chuk CDP,18661.0
AZ,Amado CDP,50284.0
AZ,Antares CDP,25417.0
AZ,Anthem CDP,85893.0
AZ,Apache Junction city,35671.0
AZ,Arivaca CDP,22130.0
AZ,Arivaca Junction CDP,36354.0
AZ,Arizona City CDP,42927.0
AZ,Arizona Village CDP,35625.0
AZ,Ash Fork CDP,25762.0
AZ,Avenue B and C CDP,26495.0
AZ,Avondale city,55100.0
AZ,Avra Valley CDP,49902.0
AZ,Bagdad CDP,78233.0
AZ,Beaver Dam CDP,45078.0
AZ,Benson city,32010.0
AZ,Beyerville CDP,31875.0
AZ,Bisbee city,31010.0
AZ,Bitter Springs CDP,25000.0
AZ,Black Canyon City CDP,35781.0
AZ,Blackwater CDP,18068.0
AZ,Bluewater CDP,33355.0
AZ,Bouse CDP,30326.0
AZ,Bowie CDP,33438.0
AZ,Brenda CDP,57708.0
AZ,Bryce CDP,56771.0
AZ,Buckeye town,58939.0
AZ,Bullhead City city,35948.0
AZ,Burnside CDP,24583.0
AZ,Bylas CDP,24028.0
AZ,Cactus Flats CDP,56897.0
AZ,Cactus Forest CDP,26573.0
AZ,Cameron CDP,35000.0
AZ,Camp Verde town,32957.0
AZ,Cane Beds CDP,47647.0
AZ,Canyon Day CDP,30000.0
AZ,Carefree town,93014.0
AZ,Carrizo CDP,22946.0
AZ,Casa Blanca CDP,18750.0
AZ,Casa Grande city,44348.0
AZ,Casas Adobes CDP,56265.0
AZ,Catalina CDP,50885.0
AZ,Catalina Foothills CDP,78586.0
AZ,Cave Creek town,76149.0
AZ,Cedar Creek CDP,22411.0
AZ,Centennial Park CDP,45060.0
AZ,Central Heights-Midland City CDP,34000.0
AZ,Chandler city,72695.0
AZ,Chilchinbito CDP,16528.0
AZ,Chinle CDP,41296.0
AZ,Chino Valley town,43379.0
AZ,Chloride CDP,20431.0
AZ,Christopher Creek CDP,23611.0
AZ,Chuichu CDP,39350.0
AZ,Cibecue CDP,18088.0
AZ,Cibola CDP,36940.0
